title,composer,origin,project,year,artist,publisher,venue_date,spotify,youtube,filename,genres,album,albumcover
s Morgens vroeg,Van Nueten,theatre piece,Of Mice and Men,2003,,,,,,/audio/'s Morgens vroeg.mp3,"Pop,Stage,Song,Live",,
2 gitaren,Van Nueten,musical theatre,Maria Magdalena,2008,,,,,,/audio/2 gitaren.mp3,"Pop,Stage,Electronic",,
2 meisjes,Dendooven-Van Nueten,musical,Soepkinders,2005,"Verheest, Gevaert, Sondervan",,"CC Hasselt, Belgium, 20-04-2005",https://www.youtube.com/watch?v=RHDp-JtUdgQ&t=0s&list=PLsmvutRI5QqW9uZ-ru8GQwx5J0aX3okce&index=2,https://youtu.be/RHDp-JtUdgQ,/audio/2 meisjes.mp3,"Electronic,Stage,Minimal",,
A Trip Too Far,Bolland,,,2009,C.J. Bolland,Wikkid Records,,,,/audio/A Trip Too Far.mp3,"Pop,Song,Electronic",500€ Coctail,
Aar en Bie,Van Nueten,,,,Vanity Project (2015),,,,,/audio/Aar en Bie.mp3,"Electronic,Pop,Rock",,
Adagio niet in B,Van Nueten,,,2009,,Bolli Records/62TV,,http://open.spotify.com/album/4b2FoYktxPW5nfuDBLFMWP,https://www.youtube.com/watch?v=FrGCu0xZhLA&index=2&list=PLsmvutRI5QqUYkIcZoK0iDImB7G4cgisR&t=0s,/audio/Adagio niet in B.mp3,"Piano,Contemporary",Merg,/albumcovers/Merg.webp
Afraid Impro,Menotti-Van Nueten,opera,The Medium,2014,Guy Van Nueten,,,,https://www.youtube.com/watch?v=TWs8CxdQaag&list=PLsmvutRI5QqVag3gFUD6wu2jh0pIHaczE&index=6,/audio/Afraid Impro.mp3,"Piano,Contemporary,Stage",,
Afraid,Giancarlo Menotti (1911-2007),opera,The Medium,2014,Guy Van Nueten,,,,,/audio/Afraid.mp3,"Contemporary,Piano,Stage",,
After Midnight,J.J.Cale,,,2003,Tom Barman & Guy Van Nueten,Universal,"Stadsschouwburg, Rotterdam,  Netherlands, 5-04-2002",,https://www.youtube.com/watch?v=MYBx-BY1Nrg,/audio/After Midnight1.mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
After Midnight,J.J.Cale,,,2003,Tom Barman & Guy Van Nueten,Universal,"Stadsschouwburg, Rotterdam,  Netherlands, 5-04-2002",,https://www.youtube.com/watch?v=MYBx-BY1Nrg,/audio/After Midnight2.mp3,"Live,Pop,Song",Live,/albumcovers/Live.webp
Agressie,Van Nueten,,,2009,,Bolli Records/62TV,,http://open.spotify.com/album/4b2FoYktxPW5nfuDBLFMWP,,/audio/Agressie.mp3,Piano,Merg,/albumcovers/Merg.webp
Alibies,Van Laere,,,2003,Admiral Freebee,Universal,,,,/audio/Alibies 1.mp3,"Song,Pop",Admiral Freebee,
Alibies,Van Laere,,,2003,Admiral Freebee,Universal,,,,/audio/Alibies 2.mp3,"Song,Pop",Admiral Freebee,
All I Need,Hirsch-Dunckel-Godin,,,,Lara Chedraoui & Guy Van Nueten,,"Concertstudio, 17 dec.2012, Kortrijk, Belgium",,https://youtu.be/iOUc_pwyPUc,/audio/All I Need.mp3,"Live,Pop,Song",,
Annie,Deneckere,,,1993,The Pink Flowers,Boom! Records,,,,/audio/Annie1.mp3,"Song,Pop",Blind Man's Son,
Annie,Deneckere,,,1993,The Pink Flowers,Boom! Records,,,,/audio/Annie2.mp3,"Song,Pop",Blind Man's Son,
Another Parasite,Van Nueten,feature film,Night Has Come,2018,,,,,,/audio/Another Parasite.mp3,"Electronic,Film,Minimal",,
Appetite,Stuyven,,,2002,Daan,Tracks,,,,/audio/Appetite1.mp3,"Pop,Song,Electronic",Bridge Burner,
Appetite,Stuyven,,,2002,Daan,Tracks,,,,/audio/Appetite2.mp3,"Pop,Song,Electronic",Bridge Burner,
April & June,Van Nueten,,,1996,The Sands,Megadisc/MCA,,https://open.spotify.com/album/2giDtITRyuhroPK9YWQuMr,,/audio/April & June 1.mp3,"Pop,Song",…And Other True Stories,/albumcovers/…And Other True Stories.webp
April & June,Van Nueten,,,1996,The Sands,Megadisc/MCA,,https://open.spotify.com/album/2giDtITRyuhroPK9YWQuMr,,/audio/April & June 2.mp3,"Pop,Song",…And Other True Stories,/albumcovers/…And Other True Stories.webp
Avaritia,Van Nueten,musical theatre,De 7 hoofdzonden,2009,"7 celli, directed by Katelijn Van Kerckhoven",,,,,/audio/Avaritia 1.mp3,"Contemporary,Orchestral,Stage",,
Ax,Van Nueten,advertisement,X,2008,,,,,,/audio/Axa 1.mp3,Film,,
Ax,Van Nueten,advertisement,X,2008,,,,,,/audio/Axa 2.mp3,Film,,
